source,target
IL2_STAT5_SIGNALING,MAFF
COAGULATION,MAFF
HYPOXIA,MAFF
TNFA_SIGNALING_VIA_NFKB,MAFF
COMPLEMENT,MAFF
HYPOXIA,IER3
P53_PATHWAY,IER3
TNFA_SIGNALING_VIA_NFKB,IER3
GLYCOLYSIS,IER3
APOPTOSIS,IER3
IL2_STAT5_SIGNALING,PHLDA1
TNFA_SIGNALING_VIA_NFKB,PHLDA1
TNFA_SIGNALING_VIA_NFKB,PTX3
EPITHELIAL_MESENCHYMAL_TRANSITION,PTX3
IL2_STAT5_SIGNALING,DENND5A
TNFA_SIGNALING_VIA_NFKB,DENND5A
TNFA_SIGNALING_VIA_NFKB,ABCA1
PROTEIN_SECRETION,ABCA1
ADIPOGENESIS,ABCA1
BILE_ACID_METABOLISM,ABCA1
INFLAMMATORY_RESPONSE,ABCA1
INFLAMMATORY_RESPONSE,GPR183
TNFA_SIGNALING_VIA_NFKB,GPR183
UNFOLDED_PROTEIN_RESPONSE,TUBB2A
TNFA_SIGNALING_VIA_NFKB,TUBB2A
IL2_STAT5_SIGNALING,BMP2
P53_PATHWAY,BMP2
TNFA_SIGNALING_VIA_NFKB,BMP2
TGF_BETA_SIGNALING,BMP2
KRAS_SIGNALING_UP,BMP2
UV_RESPONSE_UP,BMP2
APOPTOSIS,BMP2
TNFA_SIGNALING_VIA_NFKB,CFLAR
APOPTOSIS,CFLAR
ALLOGRAFT_REJECTION,RIPK2
INTERFERON_GAMMA_RESPONSE,RIPK2
INTERFERON_ALPHA_RESPONSE,RIPK2
TNFA_SIGNALING_VIA_NFKB,RIPK2
INFLAMMATORY_RESPONSE,RIPK2
KRAS_SIGNALING_UP,YRDC
TNFA_SIGNALING_VIA_NFKB,YRDC
INTERFERON_GAMMA_RESPONSE,IRF1
INTERFERON_ALPHA_RESPONSE,IRF1
TNFA_SIGNALING_VIA_NFKB,IRF1
IL6_JAK_STAT3_SIGNALING,IRF1
INFLAMMATORY_RESPONSE,IRF1
COMPLEMENT,IRF1
UV_RESPONSE_UP,IRF1
APOPTOSIS,IRF1
TNFA_SIGNALING_VIA_NFKB,FUT4
ALLOGRAFT_REJECTION,CCL2
INTERFERON_GAMMA_RESPONSE,CCL2
UNFOLDED_PROTEIN_RESPONSE,CCL2
TNFA_SIGNALING_VIA_NFKB,CCL2
INFLAMMATORY_RESPONSE,CCL2
IL2_STAT5_SIGNALING,MXD1
INFLAMMATORY_RESPONSE,MXD1
P53_PATHWAY,MXD1
TNFA_SIGNALING_VIA_NFKB,MXD1
XENOBIOTIC_METABOLISM,ID2
TNFA_SIGNALING_VIA_NFKB,ID2
EPITHELIAL_MESENCHYMAL_TRANSITION,ID2
TGF_BETA_SIGNALING,ID2
ESTROGEN_RESPONSE_LATE,ID2
KRAS_SIGNALING_UP,ID2
KRAS_SIGNALING_DN,NR4A2
TNFA_SIGNALING_VIA_NFKB,NR4A2
IL2_STAT5_SIGNALING,CD83
TNFA_SIGNALING_VIA_NFKB,CD83
ALLOGRAFT_REJECTION,IFNGR2
INFLAMMATORY_RESPONSE,IFNGR2
TNFA_SIGNALING_VIA_NFKB,IFNGR2
TGF_BETA_SIGNALING,IFNGR2
IL6_JAK_STAT3_SIGNALING,IFNGR2
IL2_STAT5_SIGNALING,MAP3K8
TNFA_SIGNALING_VIA_NFKB,MAP3K8
IL6_JAK_STAT3_SIGNALING,MAP3K8
MYC_TARGETS_V2,DUSP2
ESTROGEN_RESPONSE_LATE,DUSP2
TNFA_SIGNALING_VIA_NFKB,DUSP2
ALLOGRAFT_REJECTION,INHBA
TNFA_SIGNALING_VIA_NFKB,INHBA
EPITHELIAL_MESENCHYMAL_TRANSITION,INHBA
INFLAMMATORY_RESPONSE,INHBA
KRAS_SIGNALING_UP,INHBA
WNT_BETA_CATENIN_SIGNALING,JAG1
TNFA_SIGNALING_VIA_NFKB,JAG1
NOTCH_SIGNALING,JAG1
CHOLESTEROL_HOMEOSTASIS,JAG1
ANGIOGENESIS,JAG1
UNFOLDED_PROTEIN_RESPONSE,CEBPB
TNFA_SIGNALING_VIA_NFKB,CEBPB
COMPLEMENT,CEBPB
UNFOLDED_PROTEIN_RESPONSE,VEGFA
HEDGEHOG_SIGNALING,VEGFA
HYPOXIA,VEGFA
TNFA_SIGNALING_VIA_NFKB,VEGFA
EPITHELIAL_MESENCHYMAL_TRANSITION,VEGFA
ANGIOGENESIS,VEGFA
GLYCOLYSIS,VEGFA
MYOGENESIS,SPHK1
INFLAMMATORY_RESPONSE,SPHK1
P53_PATHWAY,SPHK1
TNFA_SIGNALING_VIA_NFKB,SPHK1
TNFA_SIGNALING_VIA_NFKB,CXCL3
IL6_JAK_STAT3_SIGNALING,CXCL3
TNFA_SIGNALING_VIA_NFKB,DUSP4
TNFA_SIGNALING_VIA_NFKB,CCNL1
