iteration,n_genes,cv_acc,mean_shap,std_shap,dropped,top20
1,599,0.9008851618914512,0.013070761226117611,0.04352448880672455,"['ABCA4', 'ABCC4', 'ABHD17C', 'ACAD8', 'ACADSB']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'MALL', 'TMPRSS2', 'CDK6', 'RASGRF1', 'CD99', 'SCUBE2', 'MARCO', 'CPM', 'CXCL14', 'CYP4F11', 'PRRX2', 'NIBAN1', 'ATP13A4', 'TMEM125', 'SC5D', 'C16orf89']"
2,594,0.8884230142091777,0.01309399213641882,0.045750826597213745,"['ABCA3', 'ACE2', 'ACKR2', 'ACSL5', 'ADAM15']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'RPA1', 'GGTLC1', 'ATP13A4', 'CDK6', 'CD99', 'MARCO', 'SCUBE2', 'CXCL14', 'TMPRSS2', 'RASGRF1', 'UBE2T', 'PRRX2', 'ADH1B', 'LBR', 'CPM', 'UCK2']"
3,589,0.8886559515490333,0.013193902559578419,0.04468920826911926,"['ACO1', 'ADCY5', 'AGR2', 'AHCYL2', 'AIM2']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'MARCO', 'SCUBE2', 'BMP7', 'RASGRF1', 'ATP13A4', 'CDK6', 'TMPRSS2', 'PRRX2', 'CXCL14', 'NIBAN1', 'UBE2T', 'RPA1', 'LBR', 'GGTLC1', 'C16orf89', 'CPM']"
4,584,0.8823666433729326,0.013411549851298332,0.04613488167524338,"['ACHE', 'ACSS3', 'ADGRF1', 'ADGRF5', 'AK1']","['CCNB1', 'MELTF', 'PLOD2', 'CXCL14', 'BMP7', 'TMPRSS2', 'MALL', 'ATP13A4', 'RPA1', 'CD99', 'GGTLC1', 'PRRX2', 'MARCO', 'SCUBE2', 'CFTR', 'RASGRF1', 'CDK6', 'NIBAN1', 'LFNG', 'CPM']"
5,579,0.9133473095737247,0.013495714403688908,0.04590199142694473,"['AKR1B1', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'ALCAM']","['CCNB1', 'PLOD2', 'MELTF', 'BMP7', 'RASGRF1', 'CD99', 'SCUBE2', 'CXCL14', 'CDK6', 'TMPRSS2', 'GGTLC1', 'MALL', 'PRRX2', 'ATP13A4', 'RPA1', 'CYP4F11', 'MARCO', 'UBE2T', 'CPM', 'LBR']"
6,574,0.8885394828791057,0.013548816554248333,0.04476676136255264,"['ALDH3B2', 'ALDOC', 'ALPK3', 'AMIGO2', 'AMOT']","['CCNB1', 'PLOD2', 'MELTF', 'BMP7', 'CDK6', 'SCUBE2', 'CD99', 'TMPRSS2', 'GGTLC1', 'CXCL14', 'MARCO', 'RASGRF1', 'ATP13A4', 'MALL', 'ADH1B', 'RPA1', 'UBE2T', 'PRRX2', 'NIBAN1', 'CFTR']"
7,569,0.8885394828791057,0.013798493891954422,0.04755247384309769,"['ALDH1A1', 'ALG8', 'AMPH', 'ANK1', 'ANKRD22']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'CD99', 'TMPRSS2', 'RASGRF1', 'PRRX2', 'CXCL14', 'SCUBE2', 'NIBAN1', 'MALL', 'ATP13A4', 'RPA1', 'GGTLC1', 'ADH1B', 'UCK2', 'MARCO', 'CDK6', 'LBR']"
8,564,0.8885394828791057,0.013867106288671494,0.043026383966207504,"['ANKRD36C', 'ANP32E', 'APBA2', 'APLP1', 'APOD']","['CCNB1', 'MELTF', 'PLOD2', 'CXCL14', 'NIBAN1', 'CDK6', 'CD99', 'BMP7', 'SCUBE2', 'ATP13A4', 'MALL', 'MARCO', 'GGTLC1', 'RASGRF1', 'RPA1', 'TMPRSS2', 'ADH1B', 'UCK2', 'CPM', 'LFNG']"
9,559,0.8763102725366876,0.013986360281705856,0.04366496577858925,"['ANXA1', 'APOL1', 'APOL2', 'AQP1', 'AQP3']","['CCNB1', 'PLOD2', 'MELTF', 'BMP7', 'TMPRSS2', 'CDK6', 'MALL', 'RPA1', 'NIBAN1', 'RASGRF1', 'CXCL14', 'ATP13A4', 'PRRX2', 'MARCO', 'CD99', 'GGTLC1', 'CPM', 'SCUBE2', 'SC5D', 'UCK2']"
10,554,0.907058001397624,0.014118564315140247,0.04664865881204605,"['ANKRD29', 'ARFRP1', 'ARHGAP31', 'ARSL', 'ATP8A1']","['CCNB1', 'MELTF', 'PLOD2', 'ATP13A4', 'BMP7', 'CD99', 'CXCL14', 'SCUBE2', 'RASGRF1', 'NIBAN1', 'TMPRSS2', 'RPA1', 'MARCO', 'CDK6', 'ANLN', 'PRRX2', 'LFNG', 'GGTLC1', 'CYP4F11', 'UBE2T']"
11,549,0.8885394828791057,0.014191064052283764,0.04802653193473816,"['AUTS2', 'AVPI1', 'BACE2', 'BAMBI', 'BEX4']","['CCNB1', 'MELTF', 'PLOD2', 'MARCO', 'RASGRF1', 'CXCL14', 'BMP7', 'SCUBE2', 'CDK6', 'CD99', 'ATP13A4', 'RPA1', 'ADH1B', 'PRRX2', 'TMPRSS2', 'GGTLC1', 'UBE2T', 'ANLN', 'LBR', 'SC5D']"
12,544,0.8822501747030049,0.014322882518172264,0.04480040445923805,"['AQP4', 'BCAM', 'BEX2', 'BMP5', 'BST2']","['CCNB1', 'MELTF', 'CD99', 'PLOD2', 'BMP7', 'CDK6', 'CXCL14', 'TMPRSS2', 'RASGRF1', 'MARCO', 'ADH1B', 'MALL', 'SCUBE2', 'UCK2', 'ATP13A4', 'NIBAN1', 'GGTLC1', 'RPA1', 'PRRX2', 'LBR']"
13,539,0.8884230142091777,0.014511083252727985,0.051513440907001495,"['ATAD2', 'B3GNT7', 'BHMT2', 'BMP3', 'BOP1']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'PRRX2', 'SCUBE2', 'CD99', 'RASGRF1', 'MARCO', 'CXCL14', 'MALL', 'GGTLC1', 'ATP13A4', 'RPA1', 'TMPRSS2', 'LBR', 'CDK6', 'CPM', 'NIBAN1', 'CFTR']"
